Column1;Column2;Column3
wattpad_com-htm;scr-preload;1355.1
wattpad_com-htm;url-preconnect;1283.9
wiley_com-htm;css-prefetch;2418.5
wiley_com-htm;css-preload;2925.8
wiley_com-htm;img-prefetch;2370.5
wiley_com-htm;img-preload;1712.6
wiley_com-htm;none;1788.7
wiley_com-htm;scr-prefetch;1943.9
wiley_com-htm;scr-preload;2236.6
wiley_com-htm;url-preconnect;3416.2
wix_com-htm;css-prefetch;1098.9
wix_com-htm;css-preload;992.9
wix_com-htm;img-prefetch;1047.6
wix_com-htm;img-preload;936.8
wix_com-htm;none;997.0
wix_com-htm;scr-prefetch;1045.1
wix_com-htm;scr-preload;1247.2
wix_com-htm;url-preconnect;867.6
www_wixsite_com-htm;css-prefetch;782.1
www_wixsite_com-htm;css-preload;875.6
www_wixsite_com-htm;img-prefetch;1276.7
www_wixsite_com-htm;img-preload;1090.3
www_wixsite_com-htm;none;908.1
www_wixsite_com-htm;scr-prefetch;1082.0
www_wixsite_com-htm;scr-preload;901.7
www_wixsite_com-htm;url-preconnect;726.5
xing_com-htm;css-prefetch;792.8
xing_com-htm;css-preload;1029.4
xing_com-htm;img-prefetch;707.8
xing_com-htm;img-preload;462.0
xing_com-htm;none;745.0
xing_com-htm;scr-prefetch;795.7
xing_com-htm;scr-preload;774.5
xing_com-htm;url-preconnect;793.7
